#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Windows Mobile Extension SDK","10.1.17763.132"
"Microsoft Visual C++  x64-arm Cross Compilers - ENU Resources","12.0.21005"
"NVIDIA PhysX","9.14.0702"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu","12.0.30501.00"
"Microsoft ASP.NET Web Pages 2 Runtime","2.0.20716.0"
"Microsoft Visual Studio 2013 Devenv","12.0.21005"
"NI Error Reporting 2017","17.00.49152"
"NI Assistant Framework LabVIEW 2017 Support","17.00.49153"
"NI-VISA Headers 17.5.0","17.50.49152"
"NI Measurement Studio Common .NET Assemblies for .NET 2.0","12.0.00258"
"Windows SDK for Windows Store Apps Tools","10.1.17763.132"
"Microsoft Azure Shared Components for Visual Studio 2013 - v1.4","1.4.30416.1601"
"Microsoft Visual C++  x64 Native Compilers - ENU Resources","12.0.21005"
"NI Controller Driver 17.5","17.50.49152"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215","14.0.24215"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030"
"NI MDF Support","17.50.49153"
"WCF Data Services Tools for Microsoft Visual Studio 2013","5.6.61587.0"
"NI Update Service 17.0","17.00.49152"
"NI-RIO I/O Control for LabVIEW 2017","17.00.49153"
"Windows SDK Desktop Headers arm","10.1.17763.132"
"NI LabVIEW 2016 Deployable License","16.0.179"
"Genesis Xenon 200 Driver v1.1.0",
"NI .NET Framework 4.6.2","4.62.49152"
"Microsoft LightSwitch for Visual Studio 2013 v4.5 Tools","12.0.30626"
"Windows Phone 8.1 SDK - x86","8.1.15116"
"Microsoft Office Developer Tools for Visual Studio","12.0.30626"
"Windows SDK Modern Versioned Developer Tools","10.1.17763.132"
"Microsoft Visual C++  x64-x86 Cross Compilers","12.0.21005"
"NI-DIM 17.5.1","17.51.49152"
"Microsoft ASP.NET and Web Tools 2013.5 - Visual Studio 2013","12.5.60612.0"
"Microsoft Visual Studio 2013 Devenv Resources","12.0.21005"
"Visual Studio 2012 Verification SDK - jpn","12.0.30501"
"NI SSL LabVIEW RTE 2015 Support","15.01.49152"
"NI System API Web-Service 32-bit 17.5.0","17.50.49152"
"Microsoft Silverlight 5.1","5.17.49152"
"Microsoft Visual Studio 2013 Add-in for Windows Phone - ENU Language Pack","12.0.30723"
"NI PXI Platform Services Configuration 17.5.1","17.51.49152"
"NI Remote Provider for MAX 17.5.0","17.50.49153"
"Windows Phone 8.1 Tools for Visual Studio Professional 2013","12.0.30723"
"Windows SDK Desktop Headers x86","10.1.17763.132"
"Team Explorer for Microsoft Visual Studio 2013","12.0.21005"
"NI Vision 2017 .NET","17.00.49154"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0"
"Windows SDK Facade Windows WinMD Versioned","10.1.17763.132"
"Universal CRT Headers Libraries and Sources","10.1.17763.132"
"NI FIRST Robotics Utilities","17.0.245"
"Math Kernel Libraries","16.01.49152"
"NI AFW Custom UI","17.00.49153"
"Microsoft LightSwitch for Visual Studio 2013 Core","12.0.30626"
"NI ActiveX Container","17.00.49152"
"Universal General MIDI DLS Extension SDK","10.1.17763.132"
"NI Network Discovery 17.0","17.00.49152"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319"
"Update for  (KB2504637)","1"
"NI Vision Assistant 2017","17.00.49153"
"Universal CRT Tools x86","10.1.17763.132"
"NI-VISA System API Support 17.5.0","17.50.49152"
"NI-RIO Mite 17.0","17.00.49152"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)","4.5.50932"
"Math Kernel Libraries","17.00.49152"
"Microsoft Visual C++ 2012 32bit Compilers - ENU Resources","11.0.60610"
"NI PXI Platform Services 17.5.1 Expert","17.51.49152"
"Microsoft Visual C++ 2013 Core Libraries","12.0.21005"
"NI-VISA Remote Passport 17.5.0","17.50.49152"
"NI Certificates 2.0.0","2.00.49155"
"NI WS Repl Library 2017","17.00.49153"
"Entity Framework 6.1.3 Tools  for Visual Studio 2013","12.0.40302.0"
"NI-Cabled PCIe 17.3","17.30.49152"
"Windows SDK Desktop Libs x86","10.1.17763.132"
"Windows 10 Update Assistant","1.4.9200.22589"
"NI Customer Experience Improvement Program","2.20.49155"
"Microsoft C++ Azure Mobile SDK for Visual Studio 2013","1.0"
"NI-MDBG 17.0.0f0","17.00.49152"
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24215","14.0.24215.1"
